timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2023-01-01 16:00:00,16558.73000000,16584.66000000,16558.00000000,16565.14000000,4962.13235000,1672592399999,82217236.16061480,152217,2514.82348000,41668653.80991730,0
2023-01-01 17:00:00,16565.13000000,16596.64000000,16562.51000000,16578.85000000,4714.40354000,1672595999999,78161014.35189550,151893,2395.66351000,39718756.79263690,0
2023-01-01 18:00:00,16579.25000000,16603.89000000,16578.85000000,16591.88000000,4146.37245000,1672599599999,68800698.89143660,141406,2156.10882000,35776785.97295470,0
2023-01-01 19:00:00,16591.35000000,16623.65000000,16591.34000000,16603.08000000,4709.74023000,1672603199999,78223013.12081980,148980,2370.80934000,39376884.94595430,0
2023-01-01 20:00:00,16603.53000000,16628.00000000,16600.55000000,16604.51000000,4189.05318000,1672606799999,69590383.53779230,147849,2126.61170000,35328801.30161050,0
2023-01-01 21:00:00,16604.51000000,16608.83000000,16592.63000000,16606.68000000,3656.77804000,1672610399999,60709003.94278330,136504,1858.75074000,30858901.46496090,0
2023-01-01 22:00:00,16607.02000000,16613.85000000,16586.24000000,16602.12000000,3690.19661000,1672613999999,61254180.74634800,126447,1866.90555000,30989586.38986910,0
2023-01-01 23:00:00,16602.39000000,16625.00000000,16600.80000000,16616.75000000,3846.61495000,1672617599999,63900690.91129890,128398,1905.95929000,31662349.75208320,0
2023-01-02 00:00:00,16617.17000000,16629.05000000,16581.25000000,16588.35000000,4327.06948000,1672621199999,71832138.46919720,149018,2028.47026000,33673522.94941990,0
2023-01-02 01:00:00,16587.97000000,16589.20000000,16548.70000000,16565.04000000,5791.85443000,1672624799999,95944925.04551100,180925,2816.37831000,46655451.06521880,0
2023-01-02 02:00:00,16565.03000000,16595.92000000,16555.00000000,16587.85000000,3150.41571000,1672628399999,52224888.11201060,118824,1598.52947000,26499301.00281090,0
2023-01-02 03:00:00,16587.99000000,16707.25000000,16581.80000000,16661.94000000,6194.13548000,1672631999999,103030651.25255820,171225,3277.32371000,54517255.70822900,0
2023-01-02 04:00:00,16662.38000000,16674.84000000,16629.29000000,16639.44000000,4983.39445000,1672635599999,82956333.18928610,168122,2424.93966000,40367608.19798810,0
2023-01-02 05:00:00,16639.74000000,16662.94000000,16619.44000000,16647.58000000,4976.78402000,1672639199999,82815640.76002620,153618,2278.73858000,37917511.49349970,0
2023-01-02 06:00:00,16648.37000000,16663.27000000,16635.93000000,16641.10000000,3210.61774000,1672642799999,53448745.65609800,133057,1580.31619000,26308644.36650570,0
2023-01-02 07:00:00,16641.10000000,16769.51000000,16637.44000000,16721.28000000,12856.08557000,1672646399999,214957166.00456060,322222,6607.54533000,110472103.80574410,0
2023-01-02 08:00:00,16721.27000000,16772.01000000,16707.52000000,16733.71000000,7080.81126000,1672649999999,118529873.50729480,232689,3600.24531000,60267451.37570810,0
2023-01-02 09:00:00,16733.71000000,16745.68000000,16710.54000000,16717.50000000,5599.20896000,1672653599999,93655810.85054800,188371,2706.63747000,45274401.05576170,0
2023-01-02 10:00:00,16717.50000000,16762.86000000,16708.68000000,16727.95000000,5892.57705000,1672657199999,98601861.92573480,198444,3066.45273000,51311880.77794620,0
2023-01-02 11:00:00,16727.72000000,16741.72000000,16704.07000000,16735.11000000,4695.34392000,1672660799999,78524975.09144890,180194,2394.24674000,40042560.09791080,0
2023-01-02 12:00:00,16735.51000000,16746.29000000,16719.30000000,16721.54000000,4262.00363000,1672664399999,71316441.96233500,178620,2122.56634000,35518307.47697430,0
2023-01-02 13:00:00,16721.96000000,16725.60000000,16685.00000000,16694.78000000,5598.29706000,1672667999999,93533995.72530080,191106,2582.79375000,43153454.70825560,0
2023-01-02 14:00:00,16695.12000000,16710.41000000,16669.15000000,16698.69000000,5460.35075000,1672671599999,91162148.00261960,184159,2714.72753000,45323673.49739060,0
2023-01-02 15:00:00,16698.69000000,16750.00000000,16692.01000000,16734.66000000,6426.56347000,1672675199999,107460985.33313840,202055,3378.12058000,56486919.06999990,0
2023-01-02 16:00:00,16734.66000000,16739.64000000,16708.23000000,16710.88000000,3861.02010000,1672678799999,64588414.48858350,155899,1880.51460000,31458598.30037140,0
2023-01-02 17:00:00,16710.69000000,16723.00000000,16707.12000000,16715.42000000,3035.91493000,1672682399999,50742538.92528590,124972,1622.97060000,27126765.99948590,0
2023-01-02 18:00:00,16715.42000000,16731.71000000,16707.47000000,16723.81000000,2810.69400000,1672685999999,46983603.55128470,113864,1469.96642000,24572110.71464560,0
2023-01-02 19:00:00,16723.64000000,16738.22000000,16715.88000000,16737.56000000,2607.10750000,1672689599999,43605490.28585510,108373,1316.05853000,22012453.05033540,0
2023-01-02 20:00:00,16737.56000000,16738.23000000,16709.29000000,16728.52000000,2881.53898000,1672693199999,48193479.81350030,111822,1417.43862000,23706442.16617880,0
2023-01-02 21:00:00,16728.52000000,16799.23000000,16718.41000000,16757.76000000,3771.07914000,1672696799999,63136180.12591220,119524,2033.27194000,34043117.78240740,0
2023-01-02 22:00:00,16757.76000000,16763.78000000,16690.18000000,16698.40000000,5609.15100000,1672700399999,93779389.41868210,172674,2761.75077000,46172269.71677960,0
2023-01-02 23:00:00,16698.40000000,16722.98000000,16660.51000000,16672.87000000,6806.55328000,1672703999999,113657537.77110640,176341,3245.25604000,54192976.31223880,0
2023-01-03 00:00:00,16672.78000000,16706.14000000,16647.81000000,16695.59000000,5684.61483000,1672707599999,94846159.43948650,178957,2884.00666000,48118051.91409490,0
2023-01-03 01:00:00,16695.59000000,16696.04000000,16651.42000000,16677.60000000,5606.20770000,1672711199999,93464173.92456350,183645,2784.63174000,46424277.43342050,0
2023-01-03 02:00:00,16677.60000000,16688.53000000,16671.60000000,16674.03000000,4217.23484000,1672714799999,70343075.58565940,157371,2049.00981000,34177594.99257770,0
2023-01-03 03:00:00,16674.04000000,16700.28000000,16666.91000000,16691.81000000,4675.39859000,1672718399999,78006697.46434890,182489,2436.93728000,40659273.09223990,0
2023-01-03 04:00:00,16691.81000000,16699.63000000,16681.79000000,16685.64000000,3591.36818000,1672721999999,59941732.10629340,145297,1762.11800000,29410894.25590270,0
2023-01-03 05:00:00,16685.21000000,16727.72000000,16683.31000000,16725.50000000,5214.59458000,1672725599999,87105306.88916970,200678,2673.69196000,44662472.56828210,0
2023-01-03 06:00:00,16725.50000000,16778.40000000,16722.31000000,16727.58000000,7123.40419000,1672729199999,119264921.74401050,246428,3580.67404000,59950558.52205690,0
2023-01-03 07:00:00,16727.58000000,16732.64000000,16707.57000000,16729.74000000,5504.97638000,1672732799999,92050875.36868820,194877,2716.38793000,45422579.62710700,0
2023-01-03 08:00:00,16730.15000000,16735.84000000,16698.15000000,16715.22000000,7060.75169000,1672736399999,118021480.48860610,245378,3481.85871000,58200411.08329660,0
2023-01-03 09:00:00,16714.77000000,16766.00000000,16714.00000000,16741.31000000,6977.90665000,1672739999999,116782574.61113370,228859,3576.63537000,59859939.11221690,0
2023-01-03 10:00:00,16741.22000000,16749.10000000,16721.89000000,16724.32000000,5640.04790000,1672743599999,94391896.86650100,189848,2792.93992000,46743146.10897220,0
2023-01-03 11:00:00,16724.00000000,16737.58000000,16709.87000000,16721.03000000,5897.45752000,1672747199999,98640536.20672680,192787,2844.17647000,47572358.38834780,0
2023-01-03 12:00:00,16721.42000000,16728.02000000,16703.00000000,16710.85000000,6466.63588000,1672750799999,108107435.20856970,218679,3212.45692000,53705727.38792990,0
2023-01-03 13:00:00,16710.85000000,16739.93000000,16709.41000000,16725.53000000,7567.34193000,1672754399999,126566700.40178090,230916,3738.12604000,62522130.45959890,0
2023-01-03 14:00:00,16725.53000000,16773.00000000,16631.95000000,16661.23000000,15670.06766000,1672757999999,262096359.28046090,373748,7549.53611000,126288218.10367290,0
2023-01-03 15:00:00,16662.08000000,16683.45000000,16617.79000000,16676.94000000,12427.73835000,1672761599999,206974952.56093540,341217,6326.82445000,105369220.90314750,0
2023-01-03 16:00:00,16677.54000000,16688.20000000,16611.30000000,16622.58000000,10273.56889000,1672765199999,171059532.68582570,292918,4965.67112000,82681953.16092640,0
2023-01-03 17:00:00,16621.93000000,16644.00000000,16605.28000000,16633.65000000,6785.77064000,1672768799999,112832933.44540890,216213,3436.77780000,57147219.03747920,0
2023-01-03 18:00:00,16633.15000000,16653.53000000,16626.80000000,16645.08000000,5698.95938000,1672772399999,94837271.16570220,192540,2902.77156000,48306599.66208200,0
2023-01-03 19:00:00,16644.51000000,16657.54000000,16622.41000000,16643.37000000,6760.83384000,1672775999999,112492775.67993760,207378,3384.91663000,56322061.76256410,0
2023-01-03 20:00:00,16643.77000000,16680.44000000,16640.40000000,16661.37000000,7053.06124000,1672779599999,117496354.64207580,212474,3547.08396000,59090057.06569670,0
2023-01-03 21:00:00,16661.37000000,16685.73000000,16658.36000000,16664.63000000,4588.95144000,1672783199999,76484018.00419620,160110,2381.39976000,39691884.70494700,0
2023-01-03 22:00:00,16664.44000000,16680.37000000,16647.71000000,16677.11000000,3839.28133000,1672786799999,63969430.66029510,137105,1932.85107000,32205839.74910110,0
2023-01-03 23:00:00,16677.11000000,16695.00000000,16667.16000000,16675.18000000,5215.36370000,1672790399999,86988721.89529230,167684,2634.27915000,43938933.61801370,0
